OBJECTID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,Shape_Length,Shape_Area,CN,Land_Cover,Acres,Percent_Area,compositeCN
1409,581,527070,21,186,MD027,6,MoC,793443,D,48.968895252827586,106.316635018799403,84,"Developed, Open Space",0.0262714,0.0000111,0.0009304
1410,582,527245,43,41,MD027,6,LoB,793428,C,94.070358805717632,442.668005733728762,73,Mixed Forest,0.1093856,0.0000461,0.0033666
1411,582,527245,43,100,MD027,6,LoC,793429,C,58.105292744665356,173.211172274184008,73,Mixed Forest,0.0428014,0.0000180,0.0013173
1412,583,527246,22,41,MD027,6,LoB,793428,C,296.988443048097224,3402.848733115292816,79,"Developed, Low Intensity",0.8408622,0.0003545,0.0280070
1413,583,527246,22,100,MD027,6,LoC,793429,C,113.713017007841657,689.427709429003698,79,"Developed, Low Intensity",0.1703613,0.0000718,0.0056743
1414,584,527247,41,101,MD027,6,LoC,793429,C,118.784372828501674,888.760271665787286,73,Deciduous Forest,0.2196174,0.0000926,0.0067593
1415,584,527247,41,177,MD027,6,UaF,628165,,36.984129713449093,11.239728110695230,,Deciduous Forest,0.0027774,0.0000012,
1416,585,527248,21,30,MD027,6,LrF,793431,C,207.222665342171268,1788.305736798164617,79,"Developed, Open Space",0.4419000,0.0001863,0.0147186
1417,585,527248,21,39,MD027,6,LoB,793428,C,398.746146139246150,4171.091483596070248,79,"Developed, Open Space",1.0306991,0.0004346,0.0343300
1418,586,527249,21,78,MD027,6,McD,793437,B,135.262149782854635,653.913346487445096,69,"Developed, Open Space",0.1615855,0.0000681,0.0047007
1419,586,527249,21,151,MD027,6,MgF,793439,B,306.374356461692173,2946.086653177279004,69,"Developed, Open Space",0.7279938,0.0003069,0.0211783
1420,587,527250,41,62,MD027,6,LmB,793427,C,18.255346489205664,13.202398047951437,73,Deciduous Forest,0.0032624,0.0000014,0.0001004
1421,587,527250,41,107,MD027,6,LaC,813450,C,117.107171184450095,886.797601812350194,73,Deciduous Forest,0.2191325,0.0000924,0.0067444
1422,588,527251,21,62,MD027,6,LmB,793427,C,230.028984831965346,2511.796739251482450,79,"Developed, Open Space",0.6206785,0.0002617,0.0206732
1423,588,527251,21,107,MD027,6,LaC,813450,C,143.216646489973385,551.957846795145542,79,"Developed, Open Space",0.1363918,0.0000575,0.0045429
1424,589,527418,42,80,MD027,6,LoB,793428,C,457.739971147061681,9336.727130768960706,73,Evergreen Forest,2.3071556,0.0009727,0.0710091
1425,589,527418,42,101,MD027,6,LoC,793429,C,145.223647457690305,563.272869007521876,73,Evergreen Forest,0.1391878,0.0000587,0.0042839
1426,590,527419,41,25,MD027,6,LrD,793430,C,112.494012456779473,576.342773541414317,73,Deciduous Forest,0.1424174,0.0000600,0.0043833
1427,591,527420,21,25,MD027,6,LrD,793430,C,358.509114697849725,4138.467924889832830,79,"Developed, Open Space",1.0226377,0.0004312,0.0340615
1428,591,527420,21,163,MD027,6,GoB,793004,C,40.889664007835506,68.516967756884810,79,"Developed, Open Space",0.0169309,0.0000071,0.0005639
1429,591,527420,21,190,MD027,6,LoC,793429,C,280.365773339956547,1516.672333362109157,79,"Developed, Open Space",0.3747779,0.0001580,0.0124829
1430,592,527421,21,78,MD027,6,McD,793437,B,21.738665846601108,8.721777692839758,69,"Developed, Open Space",0.0021552,0.0000009,0.0000627
1431,592,527421,21,151,MD027,6,MgF,793439,B,70.716518579778040,288.085305420885049,69,"Developed, Open Space",0.0711874,0.0000300,0.0020709
1432,592,527421,21,163,MD027,6,GoB,793004,C,57.794776630035784,122.340433461767418,79,"Developed, Open Space",0.0302310,0.0000127,0.0010069
1433,592,527421,21,187,MD027,6,MoC,793443,D,63.398264330043560,196.731661402933042,84,"Developed, Open Space",0.0486135,0.0000205,0.0017217
1434,593,527422,41,107,MD027,6,LaC,813450,C,91.239197881044760,220.008096839095117,73,Deciduous Forest,0.0543652,0.0000229,0.0016732
1435,594,527612,43,41,MD027,6,LoB,793428,C,59.919350892062269,88.367067022250538,73,Mixed Forest,0.0218360,0.0000092,0.0006721
1436,594,527612,43,100,MD027,6,LoC,793429,C,103.858399854585443,487.975706397530587,73,Mixed Forest,0.1205814,0.0000508,0.0037112
1437,595,527613,41,100,MD027,6,LoC,793429,C,112.494012449248643,576.342773519115781,73,Deciduous Forest,0.1424174,0.0000600,0.0043833
1438,596,527614,41,190,MD027,6,LoC,793429,C,6.953723243805110,1.251576611925860,73,Deciduous Forest,0.0003093,0.0000001,0.0000095
1439,596,527614,41,200,MD027,6,WcB,793659,D,111.467524794232261,575.310923499266437,79,Deciduous Forest,0.1421624,0.0000599,0.0047351
1440,597,527615,21,25,MD027,6,LrD,793430,C,111.776621958363279,809.281449065683546,79,"Developed, Open Space",0.1999778,0.0000843,0.0066608
1441,597,527615,21,190,MD027,6,LoC,793429,C,48.733274921897269,90.718551074014783,79,"Developed, Open Space",0.0224170,0.0000095,0.0007467
1442,598,527616,21,25,MD027,6,LrD,793430,C,72.546362227098001,220.282971775928559,79,"Developed, Open Space",0.0544331,0.0000229,0.0018130
1443,598,527616,21,163,MD027,6,GoB,793004,C,108.485798789457334,679.717028279950796,79,"Developed, Open Space",0.1679617,0.0000708,0.0055944
1444,599,527617,43,34,MD027,6,LrD,793430,C,216.041277039860660,2477.287266029410603,73,Mixed Forest,0.6121510,0.0002581,0.0188406
1445,599,527617,43,39,MD027,6,LoB,793428,C,175.506607060984322,1247.433102198440565,73,Mixed Forest,0.3082474,0.0001300,0.0094872
1446,599,527617,43,186,MD027,6,MoC,793443,D,172.655646356877099,1375.572600781258870,79,Mixed Forest,0.3399114,0.0001433,0.0113216
1447,600,527787,22,101,MD027,6,LoC,793429,C,1197.081307535089991,24108.425404698948114,79,"Developed, Low Intensity",5.9573216,0.0025117,0.1984233
1448,600,527787,22,109,MD027,6,LeB,793012,C,19.625359702389662,17.217541065686440,79,"Developed, Low Intensity",0.0042545,0.0000018,0.0001417
1449,600,527787,22,156,MD027,6,LrF,793431,C,205.314616742695051,939.182597892412332,79,"Developed, Low Intensity",0.2320771,0.0000978,0.0077299
1450,600,527787,22,177,MD027,6,UaF,628165,,638.756684051123898,4633.820584695811704,,"Developed, Low Intensity",1.1450421,0.0004828,
1451,601,527788,22,80,MD027,6,LoB,793428,C,1222.766731724960209,26057.979082842146454,79,"Developed, Low Intensity",6.4390669,0.0027148,0.2144690
1452,601,527788,22,200,MD027,6,WcB,793659,D,128.671007377848468,671.335817345346186,84,"Developed, Low Intensity",0.1658907,0.0000699,0.0058751
1453,602,527789,21,25,MD027,6,LrD,793430,C,51.764855727221615,169.481835182252723,79,"Developed, Open Space",0.0418799,0.0000177,0.0013949
1454,602,527789,21,190,MD027,6,LoC,793429,C,71.456818038426775,224.503079907715460,79,"Developed, Open Space",0.0554759,0.0000234,0.0018478
1455,602,527789,21,200,MD027,6,WcB,793659,D,65.454136064012104,182.577584710853216,84,"Developed, Open Space",0.0451159,0.0000190,0.0015978
1456,603,527790,21,37,MD027,6,LrD,793430,C,105.057830033876172,563.714171549393086,79,"Developed, Open Space",0.1392968,0.0000587,0.0046396
