PolygonID,LCID,HydroSG,CN,Acres,PCT_Area,CCN,CatchmentID
325,41,B,60,0.0660263,0.0000278,0.0016703,17
326,41,C,73,0.0861608,0.0000363,0.0026518,17
327,41,B,60,0.0817387,0.0000345,0.0020677,17
328,41,D,79,0.1406561,0.0000593,0.0046849,17
329,23,D,84,0.2223948,0.0000938,0.0078762,17
330,24,D,,0.1424717,0.0000601,,10
331,23,B,69,0.0815835,0.0000344,0.0023734,17
332,23,B,69,0.0037281,0.0000016,0.0001085,17
333,23,D,84,0.1370832,0.0000578,0.0048549,17
334,21,,,0.1424174,0.00006,,12
335,22,B,69,0.0703376,0.0000297,0.0020462,13
336,22,D,84,0.1520573,0.0000641,0.0053852,13
337,41,B,60,0.2132356,0.0000899,0.0053942,13
338,41,D,79,0.0091592,0.0000039,0.0003051,13
339,22,,,0.2223948,0.0000938,,12
340,22,,,2.1951773,0.0009255,,8
341,22,D,84,8.841073,0.0037275,0.3131112,9
342,23,D,84,9.3012581,0.0039215,0.329409,9
343,23,B,69,0.0741985,0.0000313,0.0021585,17
344,23,D,84,0.5165378,0.0002178,0.0182935,17
345,24,D,,1.474669,0.0006217,,17
346,23,B,69,0.0559963,0.0000236,0.001629,20
347,23,B,69,0.0761111,0.0000321,0.0022142,20
348,23,D,84,0.5146262,0.000217,0.0182258,20
349,22,A,49,0.1235237,0.0000521,0.0025519,20
350,23,C,79,0.5216567,0.0002199,0.0173751,10
351,23,D,84,0.0115861,0.0000049,0.0004103,10
352,23,D,84,1.1003882,0.0004639,0.0389708,10
353,22,B,69,0.1332901,0.0000562,0.0038776,10
354,22,,,0.018897,0.000008,,10
355,22,B,69,0.0800631,0.0000338,0.0023291,10
356,22,,,4.9302711,0.0020787,,10
357,21,,,6.2074656,0.0026172,,8
358,22,,,0.2223948,0.0000938,,8
359,22,D,84,0.5907363,0.0002491,0.0209212,9
360,23,B,69,0.00793,0.0000033,0.0002307,13
361,23,D,84,0.4368597,0.0001842,0.0154716,9
362,41,B,60,0.1989168,0.0000839,0.005032,17
363,41,B,60,1.3647623,0.0005754,0.0345241,17
